condition,n_samples,observed_max_H1,z_vs_gaussian,p_vs_gaussian,z_vs_permutation,p_vs_permutation
mixed,218,3.8866729736328125,26.06412446847691,0.001996007984031936,14.923963564065401,0.0004997501249375312
tumor,199,3.8866729736328125,23.02854673377086,0.001996007984031936,14.497984335112552,0.0004997501249375312
normal,19,0.4049873352050781,-0.9910514566350191,0.8383233532934131,-0.6671685797361954,0.7376311844077961
