condition,n,observed_max_h1,gauss_null_mean,gauss_null_sd,z_gaussian,p_gaussian,perm_null_mean,perm_null_sd,z_permutation,p_permutation
Mixed (tumor+normal),194,3.8329471637905073,1.0239368590612277,0.11583902623617993,24.249256886898305,0.0033222591362126247,0.9909166558815566,0.13178347159871787,21.565910151183186,0.0033222591362126247
Tumor-only,110,3.8329471637905073,0.977964913099139,0.15352949677003241,18.59565953614612,0.0033222591362126247,0.8265215522005369,0.17544597192530215,17.135905593033424,0.0033222591362126247
Normal-only,84,2.318732191210106,0.942673314781794,0.14963482568288292,9.196113739889382,0.0033222591362126247,0.5458150692973885,0.12443615870828821,14.247604075186151,0.0033222591362126247
