PC,r_with_confound,p_value
PC1,-0.9994993767737664,6.330483747082948e-290
PC2,-0.027336004552275597,0.7051656742174988
PC3,0.0136745386990667,0.8499029470071178
PC4,-0.0012587076984123024,0.9861027685444851
PC5,-0.0021084363890872823,0.9767231311483362
PC4-PC50,,
