subset,n,point_delta,delta_ci95_lo,delta_ci95_hi,point_z,z_ci95_lo,z_ci95_hi,excludes_zero,n_boot
mixed (tumor+normal),176,4.380263725280762,2.5468649063110353,9.175498405456544,12.015284946738173,6.986179255271498,25.168856211468334,True,2000
tumor-only,91,2.2940686162312827,-0.694826800028483,3.974808972676595,4.598413447052343,-1.3927660567852878,7.967422988178675,False,2000
normal-only,85,2.7806114451090496,-1.6448284848531087,4.123361994425456,5.346877714545766,-3.1628643352456085,7.928872045671167,False,2000
