quartile,n,n_tumor,n_normal,observed_max_H1,gauss_null_mean,gauss_null_sd,z_gauss,p_gauss,perm_null_mean,perm_null_sd,z_perm,p_perm
Q1,44,1,43,1.9853477478027344,0.8375954310099284,0.1548840504365658,7.4103970909701795,0.0033222591362126247,0.7007255299886068,0.21164961151984762,6.069570402654205,0.0033222591362126247
Q2,44,9,35,2.721710205078125,0.8375954310099284,0.1548840504365658,12.164679118072607,0.0033222591362126247,0.6674055480957031,0.209626442515858,9.799835518493886,0.0033222591362126247
Q3,44,37,7,2.37786865234375,0.8375954310099284,0.1548840504365658,9.944685827832574,0.0033222591362126247,0.6927106221516927,0.1925156150794616,8.753357640607497,0.0033222591362126247
Q4,44,44,0,4.490631103515625,0.8375954310099284,0.1548840504365658,23.585615576355494,0.0033222591362126247,0.7743952560424805,0.19009295441735286,19.549571728545367,0.0033222591362126247
