space,observed_max_H1,z_vs_gaussian,z_vs_permutation,cv_auc
"Full HVG (raw, class-mean intact)",8.326534271240234,58.72902319649122,47.54236180917223,0.9984848484848484
Class-mean-residualized HVG (raw),2.7787017822265625,14.479261980894968,12.128615675261896,0.0
Full HVG->PCA50 (class-mean intact),7.433322906494141,9.202992932894505,8.34433847941236,0.9984848484848484
Class-mean-residualized HVG->PCA50,3.686298370361328,0.5016716967653932,0.9140264244381334,0.20997474747474748
