space,observed_max_H1,z_gaussian,z_permutation,cv_auc_tumor_normal,cv_auc_sd,top_loop_n_participants,top_loop_n_tumor,top_loop_n_normal,fisher_p_tumor_enrichment
Full HVG->PCA50 (class-mean intact),7.56427001953125,12.015284946738173,11.368229586264567,0.9253525971792227,0.018870059891549027,45,40,5,2.870407781613946e-09
Class-mean-residualized HVG->PCA50,8.4149169921875,14.348652617400496,13.5166535935221,0.2060199518403853,0.08033233619707053,22,10,12,0.649564557108609
