condition,n,observed_max_H1,z_gaussian,p_gaussian,z_permutation,p_permutation
Mixed (tumor+normal),176,7.56427001953125,12.015284946738173,0.001996007984031936,11.368229586264567,0.0004997501249375312
Tumor-only,91,5.880062103271484,4.598413447052343,0.0033222591362126247,4.242442008459693,0.0033222591362126247
Normal-only,85,6.402069091796875,5.346877714545766,0.0033222591362126247,5.0856820373543234,0.0033222591362126247
