PC,r,abs_r,p,tier
1,-0.8894363171636346,0.8894363171636346,4.6394989925387044e-61,correlated
2,0.4498927717273321,0.4498927717273321,3.748321011868236e-10,correlated
3,-0.05162835925150826,0.05162835925150826,0.4961872296971002,free
5,0.04414115705719905,0.04414115705719905,0.5607623526218143,free
4,0.03479172410644134,0.03479172410644134,0.6466548280730504,free
6,-0.0228850791081319,0.0228850791081319,0.7630477284225249,free
7,-0.006733466349821615,0.006733466349821615,0.9293250979738361,free
11,0.006592679918333486,0.006592679918333486,0.9307990835196133,free
14,-0.004154938361349773,0.004154938361349773,0.9563544065772952,free
12,0.0026361768428553103,0.0026361768428553103,0.9723000661876818,free
10,0.002429586819845987,0.002429586819845987,0.9744700690117835,free
13,-0.0022304140130902615,0.0022304140130902615,0.9765623396310879,free
20,-0.0021845906923990445,0.0021845906923990445,0.9770437276179265,free
16,0.0016633614281177742,0.0016633614281177742,0.9825199413897903,free
19,-0.001316703528841584,0.001316703528841584,0.9861625164251481,free
15,0.0011703483751303867,0.0011703483751303867,0.9877004617662615,free
25,-0.0011357682991175871,0.0011357682991175871,0.9880638467568215,free
44,-0.0011326199609254066,0.0011326199609254066,0.9880969312155935,free
22,0.0010371713340424187,0.0010371713340424187,0.9890999669354998,free
28,0.0009105526037883754,0.0009105526037883754,0.9904305842934007,free
26,0.0008318625706078692,0.0008318625706078692,0.9912575396480376,free
40,0.0008182118149410739,0.0008182118149410739,0.9914009967232738,free
9,0.000781094096734776,0.000781094096734776,0.9917910716952206,free
18,-0.0007445044338759785,0.0007445044338759785,0.9921755991685249,free
47,-0.0007283235553141587,0.0007283235553141587,0.9923456475668402,free
36,-0.0007244947090138537,0.0007244947090138537,0.9923858858022919,free
8,0.0007092734025446815,0.0007092734025446815,0.9925458502377217,free
48,0.000645960164312346,0.000645960164312346,0.9932112276709789,free
34,-0.0006033245627038442,0.0006033245627038442,0.9936593004075625,free
41,-0.0005921125346160412,0.0005921125346160412,0.9937771319426709,free
31,0.0005869715724739523,0.0005869715724739523,0.9938311603452529,free
46,-0.0005809916037994994,0.0005809916037994994,0.9938940062342786,free
38,0.000573217329133062,0.000573217329133062,0.9939757092606598,free
37,0.0005221038438497395,0.0005221038438497395,0.994512883265101,free
50,-0.000493077589521094,0.000493077589521094,0.9948179339984332,free
35,0.0004523738232696181,0.0004523738232696181,0.9952457105220182,free
43,-0.00044337619401101785,0.00044337619401101785,0.9953402713584077,free
32,-0.00040608458477454923,0.00040608458477454923,0.9957321892458911,free
29,-0.0003797742654317003,0.0003797742654317003,0.9960086993804035,free
33,-0.00035844015633802045,0.00035844015633802045,0.9962329120369631,free
17,-0.00030029709768135404,0.00030029709768135404,0.9968439729643311,free
42,0.0002989613709736827,0.0002989613709736827,0.9968580109553207,free
45,0.00026860412465224554,0.00026860412465224554,0.99717705457696,free
39,-0.0002665904454099387,0.0002665904454099387,0.9971982176300501,free
23,0.00019815367171748845,0.00019815367171748845,0.9979174648615075,free
27,0.0001870985234441562,0.0001870985234441562,0.9980336508850568,free
21,0.0001681959348593387,0.0001681959348593387,0.998232311056049,free
24,0.00013087554773489815,0.00013087554773489815,0.9986245367167745,free
49,-0.00012418772544153973,0.00012418772544153973,0.9986948236864603,free
30,-1.472035022258289e-05,1.472035022258289e-05,0.9998452933996175,free
