n_perm,z_raw_mean,z_raw_ci_lo,z_raw_ci_hi,z_pca_mean,z_pca_ci_lo,z_pca_ci_hi,null_raw_mean,null_raw_std,null_pca_mean,null_pca_std
100,16.0494079311208,12.716651542811524,20.177095232037118,5.325618991028572,4.469221056406294,6.446512607755488,1.3290304565429687,0.16282008090938996,2.8122174453735354,0.3538959488448038
200,15.988481465352063,13.876042467330677,18.373408850612105,4.965076661042272,4.377825369989459,5.673674984627383,1.3343020248413087,0.16035327827364163,2.836535530090332,0.3726588257654571
500,15.848656806702824,14.619356971646019,17.24515894710364,5.054434576636529,4.682179033535812,5.449038973323684,1.3184042358398438,0.1625225014162888,2.8360823249816893,0.36420851461262926
1000,15.525162713145043,14.70077292382427,16.45321382065549,5.144170115305544,4.894393951423325,5.4171072312200526,1.312931411743164,0.16585138795198628,2.8331388568878175,0.35778338534021403
2000,15.219414579675435,14.633653504707441,15.812574677940095,5.134113859144462,4.938438079921611,5.3283556139823,1.3135237884521485,0.1692761676822551,2.8355019636154175,0.3581439548707351
