imputation_rule,real_raw_max_pers,real_pca_max_pers,real_pca_delta,z_raw_vs_pipeline,z_pca_vs_pipeline,z_raw_vs_gauss,z_pca_vs_gauss
drop,4.301628112792969,4.733554840087891,0.4319267272949219,16.11272876813023,5.227282951013607,27.83509000605839,5.371937691850166
mean,4.325042724609375,4.914478302001953,0.5894355773925781,16.560246405752697,5.822965216284495,28.035271976844207,5.9465111575214245
median,4.325042724609375,4.917816162109375,0.5927734375,18.729429564730395,6.090467632840029,28.035271976844207,5.957111473420521
zero,3.8866729736328125,4.670711517333984,0.7840385437011719,15.802542512033748,5.037304507566495,24.287453248459876,5.1723610014253465
