test,real_max_H1,null_mean,null_std,z_score,p_empirical,p_BH,reject_at_0.05_BH,passes_section7_threshold_z_gt_3
RNAseq_raw_gaussian,8.326534271240234,0.9633582000732421,0.1255009858717152,58.67026477938185,0.001996007984031936,0.002661343978709248,True,True
RNAseq_raw_perm,8.326534271240234,0.8786619548797607,0.15669677945051935,47.53047473264958,0.0004997501249375312,0.0013326669998334165,True,True
RNAseq_pca50_gaussian,7.433322906494141,3.4702649536132815,0.4310583518070772,9.193785333857885,0.001996007984031936,0.002661343978709248,True,True
RNAseq_pca50_perm,7.433322906494141,3.225364911079407,0.5044151061176164,8.342252133966719,0.0004997501249375312,0.0013326669998334165,True,True
Methylation_raw_gaussian,4.0924072265625,0.79326953125,0.17062726104401962,19.335349317137343,0.001996007984031936,0.002661343978709248,True,True
Methylation_raw_perm,4.0924072265625,0.9032307891845703,0.11948656020593018,26.690670748923687,0.0004997501249375312,0.0013326669998334165,True,True
Methylation_pca35spectral_gaussian,0.0,0.0005127321481704712,0.002586507239063612,-0.19823340929681474,1.0,1.0,False,False
Methylation_pca35spectral_perm,0.0,0.006735079057514667,0.008534507887159438,-0.789158454894383,1.0,1.0,False,False
