subset,n,point_delta,delta_ci95_lo,delta_ci95_hi,point_z,z_ci95_lo,z_ci95_hi,excludes_zero,n_boot,fixed_null_approximation
mixed (tumor+normal),176,4.322807559967041,2.5583231544494627,9.013519773483262,11.392637407237746,6.7423885206228436,23.754877152811645,True,2000,True
tumor-only,91,2.349966723124186,-0.6389286931355795,4.030707079569499,4.479209067990933,-1.2178449881569853,7.682823558122721,False,2000,True
normal-only,85,2.8394422785441082,-1.5095376714070636,4.182192827860515,5.488666421586777,-2.917949342298468,8.084214817935583,False,2000,True
