condition,n,observed_max_H1,gaussian_null_mean,gaussian_null_sd,z_gaussian,p_gaussian,permutation_null_mean,permutation_null_sd,z_permutation,p_permutation,n_gaussian,n_permutation
Mixed (tumor+normal),176,7.56427001953125,3.241462459564209,0.3794387028609161,11.392637407237746,0.001996007984031936,3.060701367378235,0.38285563774753434,11.763098693410894,0.0004997501249375312,500,2000
Tumor-only,91,5.880062103271484,3.5300953801472983,0.5246387671246211,4.479209067990933,0.006644518272425249,3.3531428654988606,0.6182726178848389,4.087063157377761,0.0033222591362126247,300,300
Normal-only,85,6.402069091796875,3.5626268132527668,0.5173282652734476,5.488666421586777,0.0033222591362126247,3.359379196166992,0.5767309470028451,5.27575277768972,0.0033222591362126247,300,300
