quartile,n,n_tumor,n_normal,projection_min,projection_max,observed_max_H1,gauss_null_mean,gauss_null_sd,z_gauss,p_gauss,perm_null_mean,perm_null_sd,z_perm,p_perm
Q1,44,1,43,-36.29157833292217,-19.78616133650493,1.9853477478027344,0.8128314590454102,0.1661802913567683,7.055688007190206,0.0033222591362126247,0.7136017354329427,0.19220501545404892,6.616612003414823,0.0033222591362126247
Q2,44,9,35,-18.92166946234833,5.077812941904178,2.721710205078125,0.8145847702026368,0.16535214500094328,11.533720562648938,0.0033222591362126247,0.6488871510823567,0.20824767825246102,9.953643043659106,0.0033222591362126247
Q3,44,37,7,5.491928807487962,18.65881434511064,2.37786865234375,0.8234284845987956,0.1669141684405321,9.312811382448745,0.0033222591362126247,0.7114332326253255,0.20109467695623293,8.286820143335342,0.0033222591362126247
Q4,44,44,0,18.80268211559472,30.130316677278127,4.490631103515625,0.8263031387329102,0.16091205242641007,22.77224054710583,0.0033222591362126247,0.7457381312052409,0.1849680198992953,20.24616457671585,0.0033222591362126247
