pc,pearson_p,pearson_r,variance_fraction_along_direction,projection_direct_auc_orientation_invariant
1,4.6394989925387044e-61,-0.8894363171636346,0.22329333237759924,0.9711700064641242
2,3.748321011868236e-10,0.4498927717273321,,
3,0.4961872296970965,-0.05162835925150867,,
4,0.6466548280730504,0.03479172410644119,,
5,0.5607623526218163,0.044141157057198864,,
6,0.7630477284225227,-0.02288507910813215,,
7,0.9293250979738361,-0.006733466349821589,,
8,0.9925458502377217,0.0007092734025447509,,
9,0.9917910716952206,0.0007810940967347101,,
10,0.9744700690117835,0.0024295868198459837,,
11,0.9307990835196156,0.006592679918333384,,
12,0.9723000661876818,0.0026361768428552756,,
13,0.9765623396310855,-0.002230414013090324,,
14,0.9563544065772929,-0.0041549383613498705,,
15,0.9877004617662615,0.0011703483751304214,,
16,0.9825199413897903,0.001663361428117894,,
17,0.9968439729643335,-0.0003002970976811875,,
18,0.9921755991685273,-0.0007445044338759022,,
19,0.9861625164251481,-0.0013167035288415632,,
20,0.9770437276179241,-0.002184590692399079,,
21,0.998232311056049,0.00016819593485931789,,
22,0.9890999669354998,0.0010371713340424603,,
23,0.9979174648615075,0.00019815367171748324,,
24,0.9986245367167745,0.00013087554773502305,,
25,0.9880638467568191,-0.0011357682991176773,,
26,0.9912575396480376,0.0008318625706078692,,
27,0.9980336508850568,0.00018709852344417355,,
28,0.9904305842934007,0.0009105526037883685,,
29,0.9960086993804035,-0.00037977426543173154,,
30,0.9998452933996175,-1.47203502225135e-05,,
31,0.9938311603452529,0.0005869715724740009,,
32,0.9957321892458935,-0.0004060845847744833,,
33,0.9962329120369631,-0.00035844015633802045,,
34,0.9936593004075625,-0.0006033245627036915,,
35,0.9952457105220182,0.0004523738232696424,,
36,0.9923858858022919,-0.0007244947090139179,,
37,0.994512883265101,0.0005221038438497569,,
38,0.9939757092606598,0.0005732173291331175,,
39,0.9971982176300525,-0.000266590445409845,,
40,0.9914009967232738,0.0008182118149411746,,
41,0.9937771319426709,-0.0005921125346160638,,
42,0.9968580109553207,0.0002989613709736983,,
43,0.9953402713584077,-0.00044337619401103173,,
44,0.9880969312155935,-0.0011326199609253806,,
45,0.99717705457696,0.00026860412465224554,,
46,0.9938940062342786,-0.0005809916037995411,,
47,0.9923456475668402,-0.0007283235553140859,,
48,0.9932112276709766,0.0006459601643124639,,
49,0.9986948236864603,-0.0001241877254416733,,
50,0.9948179339984332,-0.0004930775895210784,,
